Date;P3;T;j;A;R;IN1;IN2;OUT
03.07.2017;19,207;22,3;46;0,9;0;25,23;8,17;0,00
04.07.2017;19,995;23,1;45;0,82;0;35,39;9,76;3,66
05.07.2017;20,597;23,0;46;0,74;0;0,00;0,00;17,51
06.07.2017;21,644;24,0;67;0,66;0,1;11,00;9,43;7,78
07.07.2017;21,202;24,0;46;0,58;0,1;20,31;0,00;5,08
08.07.2017;21,007;17,0;46;0,5;0,1;0,00;0,00;0,00
09.07.2017;20,767;20,0;58;0,42;0,1;14,23;9,29;0,23
10.07.2017;20,469;26,0;60;0,34;0,1;10,77;10,75;0,00
11.07.2017;19,805;24,5;61;0,26;0,1;0,00;0,00;2,62
12.07.2017;19,527;25,0;56;0,18;0,1;19,87;18,82;2,04
13.07.2017;19,344;24,9;59;0,1;0;0,00;0,00;20,64
14.07.2017;19,292;25,5;38;0,02;0,1;0,00;0,00;16,49
15.07.2017;19,289;26,0;49;0;0,1;15,98;15,44;13,74
16.07.2017;19,184;22,6;45;0;0,1;0,00;0,00;0,00
17.07.2017;19,163;26,1;43;0;0,1;0,00;0,00;11,62
18.07.2017;19,209;24,9;53;0;0,1;15,56;14,83;8,41
19.07.2017;19,116;25,5;49;0;0;0,00;0,00;0,00
20.07.2017;19,067;25,5;48;0;0;0,00;0,00;9,60
21.07.2017;19,019;23,9;55;0;0;16,01;15,14;8,17
22.07.2017;18,958;23,8;56;0;0;0,00;0,00;13,65
23.07.2017;19,004;22,7;55;0;0;0,00;0,00;0,00
24.07.2017;19,078;24,5;61;0;0;6,41;6,15;7,90
25.07.2017;18,952;24,5;64;0;0;7,40;6,56;3,25
26.07.2017;18,804;24,5;63;0;0;2,19;2,86;5,59
27.07.2017;18,688;24,2;62;0;0;6,23;6,06;7,60
28.07.2017;18,926;24,0;66;0;0;6,65;6,53;2,69
29.07.2017;19,064;27,1;55;0;0;12,28;12,22;4,22
30.07.2017;18,995;24,5;60;0;0;0,00;0,00;0,00
31.07.2017;18,837;25,9;62;0;0;7,10;6,54;9,87
01.08.2017;18,801;26,0;59;0;0;7,93;5,03;5,91
02.08.2017;18,750;25,5;68;0;0;6,42;6,09;2,29
03.08.2017;18,560;25,0;51;0;0;7,21;6,15;3,52
04.08.2017;18,602;27,5;53;0;0;7,55;6,58;3,15
05.08.2017;18,887;27,1;44;0;0;18,89;8,12;5,18
06.08.2017;18,790;26,0;49;0;0;0,00;0,00;0,00
07.08.2017;18,701;26,5;53;0;0;9,97;4,18;5,63
08.08.2017;18,556;27,7;39;0;0;9,64;4,14;1,75
09.08.2017;18,462;28,1;40;0;0;9,65;4,37;2,09
10.08.2017;18,209;24,8;67;0;0;18,95;8,20;3,75
11.08.2017;18,269;28,0;50;0;0;0,00;0,00;0,00
12.08.2017;18,311;25,8;63;0;0;19,20;8,97;7,40
13.08.2017;18,469;23,5;56;0;0;0,00;0,00;0,00
14.08.2017;18,444;27,7;45;0;0;20,15;8,25;3,36
15.08.2017;18,909;24,5;56;0;0;0,00;0,00;0,00
16.08.2017;19,011;23,9;76;0;0;9,92;0,00;4,48
17.08.2017;18,912;24,0;70;0;0;9,71;0,00;0,00
18.08.2017;18,757;26,1;69;0;0;10,31;4,28;2,27
19.08.2017;18,703;26,1;62;0;0;22,40;8,61;0,99
20.08.2017;18,677;23,5;56;0;0;0,00;0,00;0,00
21.08.2017;18,444;25,4;55;0;0;11,84;4,43;5,63
22.08.2017;18,297;25,1;56;0;0;10,98;4,22;2,79
23.08.2017;18,398;24,5;55;0;0;21,15;8,21;1,36
24.08.2017;18,459;23,0;54;0;0;0,00;0,00;0,00
25.08.2017;18,522;24,6;51;0;0;21,34;8,91;2,77
26.08.2017;18,499;24,0;52;0;0;0,00;0,00;0,00
27.08.2017;18,407;22,1;56;0;0;21,43;8,12;8,49
28.08.2017;18,556;21,5;61;0;0;0,00;0,00;0,00
29.08.2017;18,572;22,6;56;0;0;20,52;8,09;6,24
30.08.2017;18,626;25,5;50;0;0;16,74;7,35;4,35
31.08.2017;18,907;26,9;46;0;0;30,86;0,00;7,10
01.09.2017;18,994;18,5;76;0;0;31,96;0,00;0,00
02.09.2017;19,500;16,7;79;0;0;72,34;0,00;0,47
03.09.2017;19,688;20,6;64;0;0;0,00;0,00;0,00
04.09.2017;19,903;19,7;76;0;0;31,98;0,00;5,25
05.09.2017;19,952;20,0;58;0;0;36,19;0,00;4,51
06.09.2017;20,108;18,7;74;0;0;31,51;0,00;2,86
07.09.2017;20,255;16,5;74;0;0;34,02;0,00;7,71
08.09.2017;20,324;19,7;65;0;0;30,51;0,00;5,71
